"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2013dr","2013/06/30","14.76","MCG +08-31-44","17:19:30.26,17:19:30","+47:42:04.6,+47:42:04.61,+47:42:03.24","Ia","173","1","",""
"SN1999da","1999/07/05","15.9","NGC 6411","17:35:22.96","+60:48:49.3,+60:48:49.28","Ia","171","6","",""
"SN2008ec","2008/07/14","15.46","NGC 7469","23:03:16.56","+08:52:19.8,+08:52:19.81","Ia","171","7","",""
"SN2002cs","2002/05/05","14.5","NGC 6702","18:46:59.96","+45:42:19.7,+45:42:19.69","Ia","170","14","",""
"SN2004gu","2004/12/13","17.34","FGC 175A","12:46:24.72","+11:56:56.1,+11:56:56.04,+11:56:56.11","Ia Pec","170","2","",""
"SN2002dj","2002/06/12","14.04","NGC 5018","13:13:00.34","-19:31:08.7,-19:31:08.69","Ia","168","24","",""
"SN2005eu","2005/10/04","16.81","NSF J022743.32+281037.6","02:27:43.30,02:27:43.224,02:27:43.26","+28:10:37.8,+28:10:37.2,+28:10:36.6,+28:10:36.59","Ia","167","11","",""
"SN2012dn","2012/07/08","13.67","ESO 462-G16","20:23:36.26","-28:16:43.4,-28:16:43.39","Ia","166","68","",""
"SN2003hv","2003/09/09","12.49","NGC 1201","03:04:09.32","-26:05:07.5,-26:05:07.51","Ia","165","25","0",""
"SN2006ef","2006/08/18","15.5","NGC 809","02:04:19.51","-08:43:42.2,-08:43:42.20","Ia","165","7","",""
"SN1991bg","1991/12/03","13.41","NGC 4374","12:25:03.70,12:25:03.67,12:25:03.71,12:15:40.8","+12:52:15.6,+12:52:15.54,+12:52:15.82,+12:52:15.8,+12:52:15.5,+08:14:24","Ia Pec","164","31","0",""
"SN2000fa","2000/11/30","15.85","UGC 3770","07:15:29.88","+23:25:42.4,+23:25:42.38","Ia","164","17","",""
"SN2006ac","2006/02/09","15.97","NGC 4619","12:41:44.90,12:41:44.88,12:41:44.86","+35:04:07.4,+35:04:07.32,+35:04:07.1,+35:04:07.10","Ia","164","14","",""
"SN2013aa","2013/02/13","11.28","NGC 5643","14:32:33.88","-44:13:27.8,-44:13:27.80","Ia","164","12","",""
"SN1998dm","1998/08/22","14.25","MCG -01-04-44","01:26:13.97","-06:06:14.0,-06:06:14.00","Ia","163","15","",""
"SN1999cp","1999/06/18","13.7","NGC 5468","14:06:31.30,14:06:31.3","-05:26:49.0,-05:26:49,-05:26:48.98","Ia","163","5","",""
"SN2005bo","2005/04/17","15.33","NGC 4708","12:49:41.03,12:49:41.04","-11:05:47.4,-11:05:47.76,-11:05:47.40,-11:05:47.3,-11:05:47.29","Ia","163","5","",""
"SN2007bj","2007/04/18","15.1","NGC 6172","16:22:10.59,16:22:10.589","-01:30:51.4,-01:30:51.33,-01:30:51.41","Ia","162","10","",""
"SN2001bg","2001/05/08","12.8","NGC 2608","08:35:18.86,08:35:18.96","+28:28:05.8,+28:28:05.88,+28:28:05.81","Ia","160","8","",""
"SN1954B","1954/04/27","12.3","NGC 5668","14:33:24.09,14:33:24.13,14:33:24.1","+04:26:41.6,+04:26:42.41,+04:26:42.0,+04:26:42.4","Ia","160","10","",""
